comuni,CODISTAT_comune,popolazione,societa_di_regolamentazione_dei_rifiuti,tipo_ubicazione,altri_rifiuti_differenziati,ingombranti,cartone,frazione_organica_umida,legno,metallo,plastica,rifiuti_apparecchiature_elettriche_ed_elettroniche,raccolta_selettiva,tessili,vetro,costruzione_e_demolizione,pulizia_stradale,riciclo_annuale_tonnellate,rifiuti_totali_annuale_tonnellate,raccolta_comunale,extra_discarica_municipale
Linguaglossa,087021,4995,CATANIA PROVINCIA NORD,INTERNO,0,18,221,691,0,1,190,17,0,14,252,0,0,640,2045,2048,3
Lipari,083041,12508,ISOLE EOLIE,ISOLE,21,92,781,1179,188,96,547,192,1,0,898,5,0,4715,8714,8714,0
Longi,083042,1350,MESSINA PROVINCIA,INTERNO,0,5,49,143,0,0,43,6,0,10,79,0,0,26,363,363,1
Lucca Sicula,084022,1733,AGRIGENTO PROVINCIA OVEST,INTERNO,64,0,44,188,9,10,14,15,6,18,60,0,0,73,500,502,1
Maletto,087022,3598,CATANIA PROVINCIA NORD,INTERNO,0,132,126,479,0,96,75,0,1,0,136,0,0,552,1597,1597,0
Malfa,083043,978,ISOLE EOLIE,ISOLE,0,0,59,48,8,6,38,3,0,0,107,0,0,242,512,512,0
Malvagna,083044,639,MESSINA PROVINCIA,INTERNO,0,0,8,0,0,0,14,0,0,0,11,0,0,154,188,188,0
Mandanici,083045,531,MESSINA AREA METROPOLITANA,INTERNO,20,11,18,74,0,0,0,1,0,0,18,0,0,34,175,175,0
Maniace,087057,3768,CATANIA PROVINCIA NORD,INTERNO,0,5,98,95,0,0,74,2,0,4,91,0,0,561,930,949,19
Marianopoli,085008,1642,CALTANISSETTA PROVINCIA NORD,INTERNO,0,24,44,216,0,0,40,0,0,1,55,0,0,101,481,481,0
Marineo,082046,6214,PALERMO PROVINCIA OVEST,INTERNO,4,0,250,684,30,28,194,18,2,31,160,0,0,395,1794,1795,0
Marsala,081011,80474,TRAPANI PROVINCIA NORD,COSTIERO,29,403,3579,11824,630,98,3314,594,23,279,3085,488,0,6895,31240,31353,113
Mascali,087023,14287,CATANIA PROVINCIA NORD,COSTIERO,487,0,507,1813,82,8,13,20,2,0,362,0,0,1877,5170,5170,0
Mascalucia,087024,31998,CATANIA AREA METROPOLITANA,INTERNO,1508,475,1374,5441,406,13,381,87,3,31,90,327,535,3376,14049,14120,70
Mazara del Vallo,081012,50312,TRAPANI PROVINCIA SUD,COSTIERO,6785,214,1587,7919,532,66,109,300,142,89,1261,387,297,2869,22557,22758,200
Mazzarino,085009,11086,CALTANISSETTA PROVINCIA SUD,INTERNO,337,92,389,1191,0,6,0,0,0,0,350,0,0,1113,3478,3478,0
Mazzarrone,087056,3955,CATANIA PROVINCIA SUD,INTERNO,187,10,127,658,0,0,0,4,0,4,115,0,47,304,1457,1457,0
Mazzarr… Sant'Andrea,083046,1400,MESSINA PROVINCIA,INTERNO,0,18,40,192,0,0,39,0,0,1,43,0,0,89,422,425,3
Melilli,089012,13227,SIRACUSA PROVINCIA,COSTIERO,559,57,466,1676,175,0,36,12,2,30,414,450,18,1550,5445,5456,11
Menfi,084023,11929,AGRIGENTO PROVINCIA OVEST,COSTIERO,356,2,443,1732,262,24,145,84,2,132,521,120,0,1814,5638,5638,0
Merì,083047,2322,MESSINA AREA METROPOLITANA,INTERNO,40,0,63,197,0,0,0,5,0,0,49,0,0,327,682,686,4
Messina,083048,221246,MESSINA AREA METROPOLITANA,COSTIERO,6256,2218,11723,22345,2010,269,331,713,115,351,6583,382,93,46573,99963,100025,62
Mezzojuso,082047,2682,PALERMO PROVINCIA EST,INTERNO,0,0,45,242,0,0,45,0,1,5,48,0,0,257,642,645,2
Milazzo,083049,30397,MESSINA AREA METROPOLITANA,COSTIERO,986,237,1634,4904,30,0,16,50,9,88,1131,0,335,5043,14463,14522,60
Milena,085010,2731,CALTANISSETTA PROVINCIA NORD,INTERNO,0,33,112,308,0,0,112,0,0,1,109,0,0,212,888,888,0
Militello Rosmarino,083050,1174,MESSINA PROVINCIA,INTERNO,0,5,27,86,0,0,38,3,0,7,46,0,0,90,301,304,2
Militello in Val di Catania,087025,6796,CATANIA PROVINCIA SUD,INTERNO,189,27,219,915,49,8,5,27,1,19,180,0,38,687,2364,2367,4
Milo,087026,1038,CATANIA AREA METROPOLITANA,INTERNO,92,4,33,226,11,0,63,2,0,5,3,0,0,102,542,542,0
Mineo,087027,4607,CATANIA PROVINCIA SUD,INTERNO,128,14,136,576,0,0,0,5,1,14,129,23,16,362,1404,1407,3
Mirabella Imbaccari,087028,4280,CATANIA PROVINCIA SUD,INTERNO,184,12,154,760,0,0,0,5,1,11,149,0,6,453,1736,1737,1
Mirto,083051,906,MESSINA PROVINCIA,INTERNO,0,8,42,124,0,0,38,3,0,7,61,0,0,22,305,305,0
Misiliscemi,081025,8415,TRAPANI PROVINCIA SUD,INTERNO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Misilmeri,082048,28894,PALERMO PROVINCIA OVEST,INTERNO,11,105,1189,3984,329,24,881,87,4,32,831,0,0,1887,9365,9437,72
Misterbianco,087029,49294,CATANIA AREA METROPOLITANA,INTERNO,1548,79,3400,4345,1014,26,279,151,5,37,934,759,321,6971,19868,20495,626
Mistretta,083052,4388,MESSINA PROVINCIA,INTERNO,0,86,169,470,0,0,106,16,0,9,197,0,0,397,1450,1453,4
Modica,088006,53554,RAGUSA PROVINCIA,COSTIERO,2211,194,2905,7041,355,35,206,217,59,165,1675,67,155,7427,22713,22766,54
Moio Alcantara,083053,685,MESSINA PROVINCIA,INTERNO,0,5,14,0,0,0,13,0,0,0,19,0,0,159,210,210,0
Monforte San Giorgio,083054,2547,MESSINA AREA METROPOLITANA,INTERNO,47,10,63,81,0,0,0,9,0,0,66,0,0,854,1129,1142,13
